ID_0,NAME_0,OCCUPANCY,DATA_SOURCES,DATA_YEAR,ADM_LEVEL,VARIABLES,NOTES
BDI,Burundi,RES,"Population and Housing Census, 2008",2008,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
CAF,Central_African_Republic,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
CMR,Cameroon,RES,"Population and Housing Census, 2010",2010,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
COD,Democratic_Republic_of_the_Congo,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
COG,Congo,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
GAB,Gabon,RES,"General Population and Housing Census of Gabon, 2013",2013,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
GNQ,Equatorial_Guinea,RES,"General Census of Population and Housing, 2002",2002,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
STP,Sao_Tome_and_Principe,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
TCD,Chad,RES,"Demographic and Health Survey, 2015",2015,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
COM,Comoros,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
DJI,Djibouti,RES,"Annual Statistics, 2012",2012,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
ERI,Eritrea,RES,"Population and Health Survey, 2010",2010,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
ETH,Ethiopia,RES,"National Population Census, 2007",2007,1,Wall materials,"Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
Finer admin level data available"
KEN,Kenya,RES,"Population and Housing Census, 2019",2019,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
MDG,Madagascar,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
MUS,Mauritius,RES,"Population and Housing Census, 2013",2013,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
RWA,Rwanda,RES,"Census of Households and Housing, 2012",2012,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
SDN,Sudan,RES,"Sudan Population and Housing Census, 2008",2008,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
SOM,Somalia,RES,"UNFP Housing and Household Assets of the Somali People, 2016",2016,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
SSD,South_Sudan,RES,"Sudan Population and Housing Census, 2008",2008,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
SYC,Seychelle,RES,,,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
TZA,Tanzania,RES,"Population and Housing Census, 2012",2012,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
UGA,Uganda,RES,"National Housing Survey, 2016",2016,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
DZA,Algeria,RES,"Population and Housing Census, 2008",2008,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
ESH,Western_Sahara,RES,"Morocco Population and Housing Census, 2014",2014,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
EGY,Egypt,RES,"Census, 2017",2017,1,,"Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
Finer admin level data available"
LBY,Libya,RES,"Population and Living Conditions of Libya, 2006",2006,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
MAR,Morocco,RES,"Morocco Population and Housing Census, 2014",2014,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
MRT,Mauritania,RES,"General Population and Housing Census, 2013",2013,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
TUN,Tunisia,RES,"Population and Housing Census, 2014",2014,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
AGO,Angola,RES,"Population and Housing Census, 2014",2014,1,,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
BWA,Botswana,RES,"Population and Housing Census, 2011",2011,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
LSO,Lesotho,RES,"Population and Housing Census, 2006",2006,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
MOZ,Mozambique,RES,"Census, 2017",2017,1,Wall materials,Population based on United Nations World Population Prospects (rev 2019) and WorldPop (2020) at Adm1
