COUNTRY,ISO3
North_Macedonia,MKD
Cyprus,CYP
Austria,AUT
Montenegro,MNE
Germany,DEU
Monaco,MCO
Gibraltar,GIB
Greece,GRC
Sweden,SWE
Ireland,IRL
Finland,FIN
Romania,ROU
Croatia,HRV
Kosovo,XKX
Poland,POL
Albania,ALB
Netherlands,NLD
Turkiye,TUR
Denmark,DNK
Belarus,BLR
Lithuania,LTU
Bosnia_and_Herzegovina,BIH
Norway,NOR
Ukraine,UKR
Isle_of_Man,IMN
Estonia,EST
Spain,ESP
Slovenia,SVN
Slovakia,SVK
Hungary,HUN
Iceland,ISL
Liechtenstein,LIE
Latvia,LVA
France,FRA
Serbia,SRB
Bulgaria,BGR
Switzerland,CHE
Italy,ITA
Belgium,BEL
United_Kingdom,GBR
Moldova,MDA
Andorra,AND
Malta,MLT
Portugal,PRT
Luxembourg,LUX
Czechia,CZE
