ID_0,NAME_0,OCCUPANCY,MACRO_TAXONOMY,TAXONOMY,TAXONOMY_HAZUS,SETTLEMENT,BUILDINGS,BLDG_REPL_COST_USD,COST_CONTENTS_USD,OCCUPANTS_TOTAL,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,CARBON_BUILDINGS_TON,DWELLINGS,AVG_BUILDING_AREA_SQM,AVG_BLDG_COST_PER_AREA_USD
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/COM:1,PC2L/HC/COM1,TOTAL,29.0,53276730.0,13319179.0,0.0,21268.0,66595908.0,9746.0,0.0,733.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/COM:2,PC2L/HC/COM2,TOTAL,107.0,464424116.0,116106005.0,0.0,185399.0,580530127.0,84962.0,0.0,1733.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/COM:3,PC2L/HC/COM4,TOTAL,46.0,151217528.0,37804376.0,0.0,60366.0,189021920.0,27664.0,0.0,1312.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/COM:3A,PC2L/HC/COM5,TOTAL,1.0,1132481.0,283120.0,0.0,452.0,1415601.0,207.0,0.0,452.0,2505.0
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/IND:1,PC2L/HC/IND1,TOTAL,15.0,23801319.0,7933771.0,0.0,18479.0,31735098.0,8377.0,0.0,1232.0,1288.0
CAN,Canada,IND,CR+,CR+PC/LDUAL/CDH+ERH/H:1-3/IND:2,PC2L/HC/IND2,TOTAL,29.0,49401137.0,16467038.0,0.0,38355.0,65868180.0,17387.0,0.0,1323.0,1288.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:4-7/COM:1,PC2M/HC/COM1,TOTAL,5.0,10679851.0,2669961.0,0.0,4263.0,13349812.0,1960.0,0.0,853.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:4-7/COM:2,PC2M/HC/COM2,TOTAL,11.0,50961654.0,12740409.0,0.0,20344.0,63702063.0,9354.0,0.0,1849.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:4-7/COM:3,PC2M/HC/COM4,TOTAL,40.0,332296976.0,83074249.0,0.0,132653.0,415371226.0,60996.0,0.0,3316.0,2505.0
CAN,Canada,COM,CR+,CR+PC/LDUAL/CDH+ERH/H:>8/COM:3,PC2H/HC/COM4,TOTAL,1.0,56756811.0,14189203.0,0.0,22657.0,70946013.0,10445.0,0.0,22657.0,2505.0
